Filename:[anno]	 Range: 24018c8000-24018cc000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24018cc000-2401910000	 Memory Size: 0.27 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401910000-2401914000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401914000-24019a8000	 Memory Size: 0.58 MB	 Active Pages: 0
Filename:[anno]	 Range: 24019a8000-24019ac000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24019ac000-2401a04000	 Memory Size: 0.34 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401a04000-2401a0c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401a0c000-2401a40000	 Memory Size: 0.20 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401a40000-2401a44000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401a44000-2401b28000	 Memory Size: 0.89 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401b28000-2401b2c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401b2c000-2401c04000	 Memory Size: 0.84 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401c04000-2401c0c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401c0c000-2401c58000	 Memory Size: 0.30 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401c58000-2401c5c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401c5c000-2401c80000	 Memory Size: 0.14 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401c80000-2401c84000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401c84000-2401d00000	 Memory Size: 0.48 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401d00000-2401d04000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401d04000-2401e04000	 Memory Size: 1.00 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401e04000-2401e0c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401e0c000-2401f30000	 Memory Size: 1.14 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401f30000-2401f34000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401f34000-2402004000	 Memory Size: 0.81 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402004000-240200c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240200c000-2402098000	 Memory Size: 0.55 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402098000-240209c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 240209c000-2402204000	 Memory Size: 1.41 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402204000-240220c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240220c000-2402404000	 Memory Size: 1.97 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402404000-240240c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240240c000-2402450000	 Memory Size: 0.27 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402450000-2402454000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402454000-24024e8000	 Memory Size: 0.58 MB	 Active Pages: 0
Filename:[anno]	 Range: 24024e8000-24024ec000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24024ec000-2402548000	 Memory Size: 0.36 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402548000-240254c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 240254c000-2402570000	 Memory Size: 0.14 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402570000-2402574000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402574000-2402604000	 Memory Size: 0.56 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402604000-240260c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240260c000-2402804000	 Memory Size: 1.97 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402804000-240280c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240280c000-2402920000	 Memory Size: 1.08 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402920000-2402924000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402924000-2402a04000	 Memory Size: 0.88 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402a04000-2402a0c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402a0c000-2402b78000	 Memory Size: 1.42 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402b78000-2402b7c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402b7c000-2402be0000	 Memory Size: 0.39 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402be0000-2402be4000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402be4000-2402c04000	 Memory Size: 0.12 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402c04000-2402c0c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402c0c000-2402c10000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402c10000-2402c14000	 Memory Size: 0.02 MB	 Active Pages: 0
